patient_name,address,telephone_number,sex,dob,employer,group_number,payer_id_number,Billing Provider,Address,NPI,TIN,Taxonomy Code
Kyle Lopez        7557 Moreno Extensions, Sarahview, IN 61285               001-612-876-3921x5691 M06/27/1943Rodriguez Ltd                 8812-ASSN 238-11-0766Dr. Robin Chapman     17193 Tonya Inlet Apt. 192, East Danielland, MH 36448      6564768782904616105203BF0100Y
Leah Diaz         548 Thomas Islands Apt. 296, East Elizabethhaven, WV 44519(752)778-2811x52723   F03/30/1969Morris, Burns and Collins     1464-ASSN 771-37-2919Dr. Michelle Lewis    PSC 5603, Box 8895, APO AA 56161                           8360655349245946788203BF0100Y
George Craig      8477 Dorsey Manors, Lake Blake, OK 16762                  783-471-9771x470      M12/19/1939Ramos, Ramsey and Dixon       1516-ASSN 872-06-5697Dr. Anna Young        6730 Stephanie Trafficway, Courtneyport, MA 90650          6224085143721218662203BF0100Y
Alyssa Davis      52828 Walker Fork Apt. 023, Lewismouth, AZ 55172          001-277-648-6936x7397 F12/27/1952Contreras, Wilson and Bush    2471-ASSN 706-43-7969Dr. Heather Gilbert   82995 Santiago Overpass Apt. 808, Port Joseph, CT 85466    8307837467406657018203BF0100Y
Caroline Jackson  5443 Debra Bridge Apt. 091, Jenniferbury, RI 61650        761.701.5380x7144     F12/18/1975Brown, Russell and Brown      8970-BSSN 156-11-3505Dr. Austin Davis      862 Mathews Stream Apt. 223, Carrilloview, UT 12833        8615502589164783822203BF0100Y
Cory Bryant       1722 Gill Glen Suite 018, Tannerton, FM 97616             346-293-9479x51500    F06/26/1977Tyler Ltd                     6834-BSSN 210-57-9754Dr. Jennifer Hayes    0434 Lori Lights, Hamiltonbury, NH 65074                   8930612018800666431203BF0100Y
Brittney Nelson   479 Hart Keys Apt. 971, East Melissaville, AZ 33328       874.405.4724x62361    M09/06/1933Flowers and Sons              6838-ASSN 763-07-9145Dr. Jason Martin      366 Raymond Via, Terrellchester, NJ 21336                  9925681108440512803203BF0100Y
Kimberly Scott    3391 Wagner Unions, Justinside, CA 06609                  001-989-710-4148x24878F02/20/1940Walker-Brown                  8527-ASSN 139-54-2722Dr. Debra Torres      Unit 4183 Box 4670, DPO AA 69785                           6332879535856072266203BF0100Y
Sean Johnson      PSC 5204, Box 9039, APO AA 92228                          +1-977-778-5085x495   M04/18/1960Martinez, Drake and Nolan     2738-ASSN 125-51-6865Dr. Christopher Newton490 Eric Lake Suite 134, Halechester, GU 75092             3427653081515915527203BF0100Y
Lisa Sutton       729 Hoffman Lakes, Smithton, AR 65074                     270-853-9716x998      F01/13/1967Martinez-Wise                 5563-CSSN 670-20-7246Dr. Erika Robertson   65606 Rebecca Key Apt. 476, New Jill, AL 79267             7336962180821296012203BF0100Y
Billy Jones       34039 Sandoval Forks Apt. 368, Wuland, NM 62424           809.976.8373          F02/18/1980Vargas-Knight                 8325-CSSN 584-05-1211Dr. Joseph Burns      71516 Christopher Springs Suite 784, Johnsonburgh, PW 518974244597406483048781203BF0100Y
Mrs. Laura Watkins176 Cline Isle, Ramosville, IN 65386                      001-313-930-2065x95976M10/21/1994Alexander, Garcia and Beck    9164-ASSN 816-12-9795Dr. Kimberly Foster   83799 Rachel Key, West Brentside, AL 63061                 5035668610851811268203BF0100Y
Karen Cox         078 Andrea Mount, Alejandraport, HI 33571                 (455)323-7677x5937    F09/07/1999Grimes LLC                    6697-CSSN 717-52-5166Dr. Shelby Martinez   03398 Sandra Ports, North Kimberly, PW 15839               7212191299284744310203BF0100Y
Jessica Porter    3093 Smith Coves, Smithburgh, WI 83680                    +1-955-864-9834x8670  F11/01/1962Gilmore Ltd                   2485-BSSN 884-53-1396Dr. Hannah Andrews    07752 Payne Prairie Apt. 672, Melissaton, AR 90790         6203405627562150462203BF0100Y
